StateUT,Rape,KidnappingAndAbduction,DowryDeaths,AssaultWithIntentToOutrageModesty ,InsultToModesty,CrueltyByHusbandOrHisRelatives,ImportationOfGirlsFromForeignCountry,ImmoralTrafficPAct,DowryProhibitionAct,IndecentRepresentationOfWomenPAct,CommissionOfSatiPreventionAct,TotalCrimes,Year
Andhra Pradesh,871,765,420,3544,2271,5791,7,1332,551,925,0,16477,2001
Arunachal Pradesh,33,55,0,78,3,11,0,0,0,0,0,180,2001
Assam,817,1070,59,850,4,1248,0,6,179,10,0,4243,2001
Bihar,888,518,859,562,21,1558,83,29,835,3,0,5356,2001
Chhattisgarh,959,171,70,1763,161,840,0,12,13,0,0,3989,2001
Goa,12,6,2,17,7,11,0,28,0,0,0,83,2001
Gujarat,286,857,67,756,111,3667,0,61,0,0,0,5805,2001
Haryana,398,297,285,478,401,1513,0,21,0,0,0,3393,2001
Himachal Pradesh,124,105,10,310,14,317,0,1,9,0,0,890,2001
Jammu and Kashmir,169,504,13,622,288,50,0,7,3,0,0,1656,2001
Jharkhand,567,279,217,297,5,484,2,3,375,0,0,2229,2001
Karnataka,293,271,220,1665,81,1755,0,1356,361,0,0,6002,2001
Kerala,562,97,27,1942,81,2561,0,132,6,42,0,5450,2001
Madhya Pradesh,2851,668,609,7063,751,2562,0,15,30,0,0,14549,2001
Maharashtra,1302,611,308,2823,1120,6090,1,233,27,9,0,12524,2001
Manipur,20,62,0,21,0,5,0,4,0,0,0,112,2001
Meghalaya,26,11,0,25,0,4,0,0,0,0,0,66,2001
Mizoram,52,1,0,52,0,16,3,2,0,0,0,126,2001
Nagaland,17,6,0,6,0,0,0,1,0,0,0,30,2001
Orissa,790,434,294,1655,458,1266,0,24,436,0,0,5357,2001
Punjab,298,324,159,372,47,1128,0,32,0,1,0,2361,2001
Rajasthan,1049,2165,376,2878,56,5532,1,68,4,46,0,12175,2001
Sikkim,8,2,0,0,14,0,0,0,0,0,0,24,2001
Tamil Nadu,423,607,191,1773,1012,815,14,5232,33,11,0,10111,2001
Tripura,102,35,16,58,0,227,0,0,0,0,0,438,2001
Uttar Pradesh,1958,2879,2211,2870,2575,7365,0,26,340,3,0,20227,2001
Uttarakhand,74,126,56,103,84,301,0,0,5,0,0,749,2001
West Bengal,709,695,265,954,48,3859,3,31,6,0,0,6570,2001
Andaman and Nicobar Islands,3,2,0,19,1,9,0,0,0,0,0,34,2001
