City,Rape,KidnappingAndAbduction,DowryDeaths,AssaultWithIntentToOutrageModesty ,InsultToModesty,CrueltyByHusbandOrHisRelatives,ImportationOfGirlsFromForeignCountry,ImmoralTrafficPAct,DowryProhibitionAct,IndecentRepresentationOfWomenPAct
AGRA,33,166,31,61,43,230,0,2,0,0
AHMEDABAD,63,183,11,79,7,1448,0,14,0,0
ALLAHABAD,11,52,9,17,0,132,0,3,0,0
AMRITSAR,27,45,5,14,0,105,0,13,0,0
ASANSOL,36,49,15,31,4,240,0,2,0,0
AURANGABAD,23,18,4,79,28,120,0,5,0,0
BENGALURU,90,433,51,321,51,524,0,160,633,0
BHOPAL,114,33,14,202,29,242,0,0,7,0
CHANDIGARH,24,57,4,43,23,66,0,0,0,0
CHENNAI,94,65,12,90,141,237,0,193,0,0
COIMBATORE,20,12,0,17,2,112,0,53,0,0
DELHI,585,1787,100,639,181,1870,0,19,13,0
DHANBAD,13,40,10,4,0,26,0,1,47,0
DURG-BHILAINAGAR,70,35,6,139,23,97,0,0,1,0
FARIDABAD,47,87,8,31,84,197,0,4,1,0
GHAZIABAD,15,130,22,34,37,221,0,1,0,0
GWALIOR,60,56,25,110,11,150,0,4,3,0
HYDERABAD,74,31,23,145,141,1339,0,115,31,0
INDORE,125,38,18,297,90,349,0,4,1,0
JABALPUR,87,25,9,160,41,146,0,0,2,0
JAIPUR,134,191,30,91,0,942,0,27,2,10
JAMSHEDPUR,26,69,14,18,2,79,0,7,133,0
JODHPUR,40,36,16,43,0,301,0,18,0,8
KANNUR,14,5,0,40,5,118,0,1,0,0
KANPUR,21,159,30,57,0,265,0,2,0,0
KOCHI,28,5,0,108,16,127,0,35,0,0
KOLKATA,68,210,19,486,377,865,9,39,0,0
KOLLAM,46,18,4,171,41,336,0,0,0,1
KOTA,45,62,5,73,0,428,0,0,0,1
KOZHIKODE,36,3,0,103,83,144,0,58,0,0
LUCKNOW,24,203,15,110,2,452,0,2,7,0
LUDHIANA,69,99,10,30,14,135,0,6,0,0
MADURAI,11,51,3,28,8,62,0,21,0,0
MALAPPURAM,11,0,0,33,4,117,0,0,0,0
MEERUT,22,85,15,63,0,288,0,5,0,0
MUMBAI,232,141,11,614,235,388,0,160,0,0
NAGPUR,57,39,6,84,53,166,0,13,10,0
NASIK,20,13,3,36,16,147,0,3,0,0
PATNA,35,244,55,15,1,294,0,4,89,0
PUNE,85,77,9,120,85,215,0,45,0,0
RAIPUR,64,11,5,89,26,86,0,5,1,0
RAJKOT,11,50,0,10,3,264,0,8,0,0
RANCHI,34,80,6,10,4,46,0,1,9,0
SRINAGAR,19,89,0,201,82,63,0,2,2,0
SURAT,40,66,3,28,0,299,0,8,0,0
THIRUVANANTHAPURAM,41,16,0,226,19,159,0,33,0,0
THRISSUR,35,9,0,111,32,146,0,5,0,0
TIRUCHIRAPALLI,7,13,3,9,39,24,0,17,7,0
VADODARA,11,57,0,15,4,306,0,1,0,0
VARANASI,11,45,15,9,0,105,0,2,0,0
VASAI VIRAR,20,17,2,46,6,26,0,3,0,0
VIJAYAWADA,47,39,16,223,418,1136,0,19,0,0
VISHAKHAPATNAM,50,20,11,23,11,412,0,27,2,0
